repo,file_path,language,framework,matched_keywords,html_url
soramitsu/fearless-iOS,fearless/Common/Helpers/TopViewControllerHelper.swift,Swift,UIKit,import UIKit; UIViewController; UIView,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Helpers/TopViewControllerHelper.swift
soramitsu/fearless-iOS,fearless/Common/LocalAuthentication/BiometryAuth.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/LocalAuthentication/BiometryAuth.swift
soramitsu/fearless-iOS,fearless/Common/Model/ChainAction.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/ChainAction.swift
soramitsu/fearless-iOS,fearless/Common/Model/EmptyAccountIcon.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/EmptyAccountIcon.swift
soramitsu/fearless-iOS,fearless/Common/Model/FieldStatus.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/FieldStatus.swift
soramitsu/fearless-iOS,fearless/Common/Model/ReplaceChainOption.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/ReplaceChainOption.swift
soramitsu/fearless-iOS,fearless/Common/Model/RestoreJson.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/RestoreJson.swift
soramitsu/fearless-iOS,fearless/Common/Model/TextSharingSource.swift,Swift,UIKit,import UIKit,https://github.com/soramitsu/fearless-iOS/blob/HEAD/fearless/Common/Model/TextSharingSource.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Scenes/AddAssetScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationStack; HStack; List {; ViewBuilder,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Scenes/AddAssetScene.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Scenes/AssetScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; HStack; List {; .padding(; .frame(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Scenes/AssetScene.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Scenes/AssetsFilterScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; @Binding; NavigationStack; List {,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Scenes/AssetsFilterScene.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Scenes/NetworkSelectorScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @Binding,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Scenes/NetworkSelectorScene.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Scenes/SelectAssetScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; HStack; List {; ForEach(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Scenes/SelectAssetScene.swift
gemwalletcom/gem-ios,Features/Assets/Sources/ViewModels/AddAssetSceneViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/ViewModels/AddAssetSceneViewModel.swift
gemwalletcom/gem-ios,Features/Assets/Sources/ViewModels/AssetHeaderViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/ViewModels/AssetHeaderViewModel.swift
gemwalletcom/gem-ios,Features/Assets/Sources/ViewModels/AssetSceneViewModel.swift,Swift,Mixed (SwiftUI + UIKit),import SwiftUI; import UIKit,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/ViewModels/AssetSceneViewModel.swift
gemwalletcom/gem-ios,Features/Assets/Sources/ViewModels/AssetsFilterViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/ViewModels/AssetsFilterViewModel.swift
gemwalletcom/gem-ios,Features/Assets/Sources/ViewModels/SelectAssetViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/ViewModels/SelectAssetViewModel.swift
gemwalletcom/gem-ios,Features/Assets/Sources/Views/ListAssetItemSelectionView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Assets/Sources/Views/ListAssetItemSelectionView.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ChainSelectorScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ChainSelectorScene.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ChainSelectorView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ChainSelectorView.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ContactsNavigationView.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; @Binding; NavigationView; NavigationStack; ViewBuilder,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ContactsNavigationView.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ContactsScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; List {; ForEach(,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ContactsScene.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ManageContactAddressScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationStack; List {,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ManageContactAddressScene.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/Scenes/ManageContactScene.swift,Swift,SwiftUI,import SwiftUI; View {; some View; body: some View; @State; NavigationStack; HStack; List {; ForEach(; ViewBuilder,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/Scenes/ManageContactScene.swift
gemwalletcom/gem-ios,Features/Contacts/Sources/ViewModels/ManageContactAddressViewModel.swift,Swift,SwiftUI,import SwiftUI,https://github.com/gemwalletcom/gem-ios/blob/HEAD/Features/Contacts/Sources/ViewModels/ManageContactAddressViewModel.swift
